Skóre: 2, obtížnost: lehká
Skóre: 1, obtížnost: lehká
Skóre: 0, obtížnost: nejtěžší, hráč: ads
Skóre: 0, obtížnost: nejtěžší, hráč: ads
Skóre: 16, obtížnost: lehká, hráč: asd
Skóre: 10, obtížnost: lehká, hráč: radecek
Skóre: 22, obtížnost: lehká, hráč: 1
Skóre: 60, obtížnost: lehká, hráč: 1
Skóre: 43, obtížnost: lehká, hráč: dc
Skóre: 2, obtížnost: lehká, hráč: sd
Skóre: 0, obtížnost: střední, hráč: xc
Skóre: 1, obtížnost: lehká, hráč: asd
Skóre: 9, obtížnost: lehká, hráč: sad
Skóre: 74, obtížnost: lehká, hráč: sad
Skóre: 5, obtížnost: lehká, hráč: asd
Skóre: 13, obtížnost: lehká, hráč: s
Skóre: 10, obtížnost: lehká, hráč: s
Skóre: 15, obtížnost: lehká, hráč: s
Skóre: 18, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: hardcore, hráč: s
Skóre: 1, obtížnost: hardcore, hráč: s
Skóre: 12, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: 222
Skóre: 0, obtížnost: lehká, hráč: 222
Skóre: 0, obtížnost: lehká, hráč: 222
Skóre: 0, obtížnost: lehká, hráč: 222
Skóre: 0, obtížnost: lehká, hráč: 222
Skóre: 0, obtížnost: lehká, hráč: 222
Skóre: 0, obtížnost: lehká, hráč: 222
Skóre: 0, obtížnost: lehká, hráč: 222
Skóre: 0, obtížnost: lehká, hráč: 222
Skóre: 0, obtížnost: lehká, hráč: 222
Skóre: 0, obtížnost: lehká, hráč: 222
Skóre: 0, obtížnost: lehká, hráč: 222
Skóre: 0, obtížnost: lehká, hráč: 222
Skóre: 0, obtížnost: lehká, hráč: 222
Skóre: 0, obtížnost: lehká, hráč: 222
Skóre: 0, obtížnost: lehká, hráč: 222
Skóre: 0, obtížnost: lehká, hráč: 222
Skóre: 0, obtížnost: lehká, hráč: 222
Skóre: 0, obtížnost: hardcore, hráč: 222
Skóre: 0, obtížnost: hardcore, hráč: 222
Skóre: 0, obtížnost: hardcore, hráč: 222
Skóre: 0, obtížnost: hardcore, hráč: 222
Skóre: 0, obtížnost: hardcore, hráč: 222
Skóre: 0, obtížnost: hardcore, hráč: 222
Skóre: 0, obtížnost: hardcore, hráč: 222
Skóre: 0, obtížnost: hardcore, hráč: 222
Skóre: 0, obtížnost: hardcore, hráč: 222
Skóre: 2, obtížnost: lehká, hráč: +
Skóre: 4, obtížnost: lehká, hráč: s
Skóre: 2, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: s
Skóre: 7, obtížnost: lehká, hráč: x
Skóre: 6, obtížnost: lehká, hráč: s
Skóre: 18, obtížnost: lehká, hráč: s
Skóre: 19, obtížnost: lehká, hráč: s
Skóre: 55, obtížnost: lehká, hráč: s
Skóre: 21, obtížnost: střední, hráč: s
Skóre: 2, obtížnost: lehká, hráč: s
Skóre: 17, obtížnost: lehká, hráč: d
Skóre: 40, obtížnost: lehká, hráč: s
Skóre: 3, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: d
Skóre: 3, obtížnost: lehká, hráč: d
Skóre: 1, obtížnost: lehká, hráč: d
Skóre: 6, obtížnost: lehká, hráč: d
Skóre: 1, obtížnost: lehká, hráč: d
Skóre: 0, obtížnost: lehká, hráč: d
Skóre: 0, obtížnost: lehká, hráč: d
Skóre: 1, obtížnost: lehká, hráč: f
Skóre: 0, obtížnost: lehká, hráč: d
Skóre: 3, obtížnost: lehká, hráč: s
Skóre: 0, obtížnost: lehká, hráč: d
Skóre: 0, obtížnost: lehká, hráč: d
Skóre: 3, obtížnost: střední, hráč: vd dfdsf df df s d Skóre: 2, obtížnost: lehká, hráč: d
